"21	2010-03-15","14:59:04	1	0	0	0"
"21	2010-03-15","15:00:16	1	0	1	0"
"21	2010-03-15","15:01:00	1	0	0	0"
"9112	2010-03-15","16:08:28	1	0	1	0"
"29	2010-04-23","05:45:49	1	1	1	0"
"9105	2010-04-23","05:49:27	1	0	1	0"
"9014	2010-04-23","05:51:00	1	0	1	0"
"5067	2010-04-23","05:51:57	1	0	1	0"
"9014	2010-04-23","05:52:03	1	0	1	0"
"9104	2010-04-23","05:54:57	1	0	1	0"
"7086	2010-04-23","05:55:17	1	0	1	0"
"7086	2010-04-23","05:55:24	1	0	1	0"
"9112	2010-04-23","06:09:03	1	0	1	0"
"6083	2010-04-23","06:18:09	1	0	1	0"
"6068	2010-04-23","06:18:36	1	0	1	0"
"20	2010-04-23","06:18:42	1	0	1	0"
"6083	2010-04-23","20:34:51	1	0	1	0"
"8094	2010-04-23","20:35:05	1	0	1	0"
"9111	2010-04-23","20:35:23	1	0	1	0"
"6082	2010-04-23","20:35:59	1	0	1	0"
"6071	2010-04-23","20:36:08	1	0	1	0"
"6081	2010-04-23","20:36:21	1	0	1	0"
"6080	2010-04-23","20:36:44	1	0	1	0"
"9110	2010-04-23","20:37:57	1	0	1	0"
"9106	2010-04-23","20:49:15	1	0	1	0"
"9106	2010-04-23","20:49:17	1	0	1	0"
"27	2010-04-23","20:53:41	1	0	1	0"
"8101	2010-04-23","20:53:48	1	0	1	0"
"8098	2010-04-23","20:53:54	1	0	1	0"
"29	2010-04-23","21:03:25	1	0	1	0"
"29	2010-04-23","21:03:30	1	0	1	0"
"29	2010-04-23","21:05:13	1	0	1	0"
"5067	2010-04-23","21:16:11	1	0	1	0"
"9106	2010-04-23","21:58:55	1	0	1	0"
"9106	2010-04-23","21:59:07	1	0	1	0"
"8102	2010-04-23","22:22:36	1	0	1	0"
"29	2010-04-23","22:32:08	1	0	0	0"
"29	2010-04-24","00:47:33	1	0	1	0"
"2052	2010-04-24","00:57:52	1	0	1	0"
"2052	2010-04-24","00:58:01	1	0	1	0"
"2052	2010-04-24","00:58:14	1	0	1	0"
"2052	2010-04-24","00:58:27	1	0	1	0"
"2052	2010-04-24","00:58:43	1	0	1	0"
